,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
751,c0f58575bf, i want to experience snow  we don`t have snow here and it sucks,t sucks,negative, it sucks,0.3333333333333333
752,7d770c7bd6,i have such a sore head,sore head,negative, i have such a sore head,0.3333333333333333
759,cbdbfb9de2,"is bored, cant go on habbo stupid ban",stupid,negative," bored,",0.0
762,708b41b0c8," I don`t think I am, my sisters refusn to get me a ticket now.  what you doing next week?","I don`t think I am, my sisters refusn to get me a ticket now.",negative," i don`t think i am,",0.3076923076923077
776,66521b4652,i have no idea what im doing and i am completely lost.,i am completely lost.,negative, lost.,0.25
780,8d9f0090b0, I think that may look a little silly -.- Also my camera is broken so no photo,silly,negative, i think that may look a little silly,0.125
782,da2bf1eb03,this day has beasted me.,beasted,negative, this day has beasted,0.25
790,fac4f75f45,I just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    http://bit.ly/QRz6y,ended up inventing my own.,negative, grrrr,0.0
791,28f000e641, seems to have disappeared out of my life,seems to have disappeared out of my life,negative, disappeared,0.125
797,0d32a589d2,_Lay aww well I just randomly woke up and now I can`t sleep! Too many things on my mind,aww,negative, i can`t sleep!,0.0
803,8074eded04,Ugh! I wanna play dnd but i know i`m going to fail this final. I NEED to study,i`m going to fail this final.,negative, fail,0.16666666666666666
805,70eb969d45, how sad! are you saying that I`m fat?  *tears*,how sad! are you saying that I`m fat?  *tears*,negative, how sad!,0.2222222222222222
808,198c97b57a,Finally get to lay down for a bit i have a major headache,i have a major headache,negative, headache,0.2
811,38b91a3688,"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby","Stupid me,",negative," stupid me, accidentally gave my honey the atomic flavored buffalo wings and now his stomach feels just awful..... im sorry baby",0.09523809523809523
838,01427ed7f0,Mad tired. But it`s the hols! I miss chomp chomp terribly!,Mad tired. But it`s the hols! I miss chomp chomp terribly!,negative, mad tired.,0.2
843,90469c762f,watching 'That Thing You Do' on Comcast. Missing my boo like crrrrrazy!,Missing,negative, missing my boo like crrrrrazy!,0.2
844,647e680fec,It just had to rain on me almost a perfect day now my clothes are wet,It just had to rain on me,negative, my clothes are wet,0.0
853,e9785cbd8c,i would slip and fall... on the dirty school bathroom floor. fml.,i would slip and fall..,negative, dirty school bathroom floor. fml.,0.0
856,3bfc997081, ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,a stop,negative, ugggh,0.0
859,a7850c4612,"Just came back from watching Terminator Salvation @ Cathay. It`s so-so only, not so much action  but I feel sorry for Marcus though.",but I feel sorry for Marcus though.,negative, sorry,0.14285714285714285
863,19d585c61b,"My poor heather, she didnt make the cheerleading squad. Im sorry babygirl. Maybe next year",sorry ba,negative, im sorry,0.3333333333333333
881,ad2e9f53be,Just lost my internet signal  how will life go on,lost my internet signal,negative, lost,0.25
890,2a8f304f11, don`t know it really hurt my arm. guess you have to booze me.. or just ask  or  if you don`t believe me!,hurt my arm.,negative, hurt,0.3333333333333333
892,f4e66c4f1a,"tiiiiiiired! Going to bed! Drinking leads to making out with boys, who you later forget their names.... Don`t drink kids. Goodnight",tiiiiiiired! Going to bed!,negative, tiiiiiiired!,0.25
905,6fb42d0a8e," Every time I have Friday off. Sadly, that`s not too often","Sadly, that`s not too often",negative," sadly,",0.2
908,f26ab1a9d4,...  that was meeeaaannn. people make mistakes ok?! lol,...  that was meeeaaannn.,negative, mistakes,0.0
925,bd5e56bd6d,"What did I learn today? Never post anything you`ve sold on ebay using royal mail. They lose it, I refund: compo`s nowhere near - my bad",my bad,negative," lose it, i refund: compo`s nowhere near - my bad",0.2
933,753d7f4ac2,Buried under more web changes. Going to make lunch now... I won`t have a chance later. Too much to do.,I won`t have a chance later.,negative, buried,0.0
963,e0ef3a78fc,mad the rain got me...now i cant go see jaiden   *|)|/-\|\|/-\*,mad the rain got me..,negative, mad,0.2
970,84200d46e6,"Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..",excuse,negative, i wish i had an excuse to be so tired today..,0.1
991,8a2a4790e0,Work in that heat is horrible !,Work in that heat is horrible !,negative, horrible !,0.2857142857142857
999,6d2170e60f," I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",".just not lucky, never have been.",negative,"just not lucky,",0.2857142857142857
1021,8ddbe8e99b,I must have just missed   & I guess I scared  & _TX off...  Sorry,I scared,negative, sorry,0.0
1034,9955130b68,"Its prob cuz I don`t really like sleeping in late, even if I tried.","Its prob cuz I don`t really like sleeping in late, even if I tried.",negative, i don`t really like,0.3076923076923077
1036,3e49b93467," Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",t I`m still stick.,negative, bad.,0.0
1042,f83955956a,"i`m watching missing pieces, just coz the theme song is lost without you",lost,negative, lost without you,0.3333333333333333
1044,ecf25bb855, **** i hope theyr all wrong we need him,****,negative, **** i hope theyr all wrong,0.16666666666666666
1057,b8d2a9667c, oh dear.. u serious? so how does one prevent bites??  I`m so itchy its distracting while editing.. *sigh*,o itchy,negative, i`m so itchy its distracting,0.16666666666666666
1065,8dee9a95f0,DotA is an addiction...i waste 6-7 hours playing dota,waste,negative, dota is an addiction...i waste,0.2
1067,6b2c6b3095, How long before the Frisbee Golfer 'accidentally' catches one in the back of the head from his friend,'accidentally',negative,accidentally',0.0
1071,598c09a87d,"Not smoking sucks sucks **** SUCKS, I want a cig","SUCKS,",negative," sucks sucks **** sucks,",0.3333333333333333
1100,44543f660b,Almost to grandmas now. No internet there. I will never catch up on twitter.,No internet there.,negative, i will never catch up,0.0
1110,b11a01ef9b,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,painful,negative, painful story about an 80s year old man who cried because he wanted to die... very sad,0.058823529411764705
1118,c9d6997a02, wats gooood !! miss yall already,miss yall,negative, wats gooood,0.0
1121,bba51e47ab,its my burfday and i`m all alone,i`m all alone,negative, alone,0.3333333333333333
1131,debbe76d54,"Why are young people attracted to trouble? this makes me sad!  ,<3 kMv",sad!,negative, this makes me sad!,0.25
1145,bb946cb35b, - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,problem,negative, sorry,0.0
1150,aa189955b1,  BUT THEY ARE EXPENSIVE.,E EXPENSIVE,negative, expensive.,0.0
1159,62086f9961,is sad that she is not seeing Basshunter at Metroplex this weekend,is sad th,negative, sad,0.3333333333333333
1163,2889cb3b49, o can`t work that one out  pain in the **** them spammers,o can`t work that one out  pain in the **** them spammers,negative, pain,0.08333333333333333
1172,f145992965, I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,tan,negative, i am definitely ready... actually ahead of you... i already have a sun tan and i was out at the beach yesterday.,0.05
1192,1722cd3459,  I`m SO jealous! I don`t know when I`ll be able to see Conan.,I`m SO jealous,negative, jealous!,0.0
1199,bc361e245e, Aw...poor thing.,..poor thing.,negative, aw...poor,0.0
1200,968964a722, hahahah of course  they have such a nasty display picture :`),e such a nasty display picture,negative, nasty,0.16666666666666666
1206,e3b7b4a3c8,"Sick. Feel like jello, can`t talk, and delirious.","Sick. Feel like jello, can`t talk, and delirious.",negative, sick.,0.125
1212,54277afaa4," sux, I`m thinking of being an accountant. Mad monies! I`m a middleschool cafeteria manager  (25k/yr)","sux,",negative, mad,0.0
1216,1be7769340,my arms hurt!,my arms hurt!,negative, hurt!,0.3333333333333333
1219,b9b1ff657b,starting phase 1 of operation 'be productive'- pack clothes. can`t find pink tank top!! oh no!!!,oh no!!!,negative, can`t find pink tank top!! oh no!!!,0.2857142857142857
1221,17fc6384ed,Miss Cauzinhoooo already,Miss Cauzinhoooo already,negative, miss,0.3333333333333333
1260,528ccda85a,Never commute in the rain. The people get so much meaner to you.,The people get so much meaner to you.,negative, meaner,0.125
1269,ad94c81511,My legs are so **** sore. And my feet hurt to walk. Whataday,hurt to,negative, sore.,0.0
1275,1124f6f9a5,noone wants to talk to me  lol,noone wants to talk to me  lol,negative, noone,0.16666666666666666
1276,59d23b3db7,so very irratated,so very irratated,negative, irratated,0.3333333333333333
1279,fb93940016," haha.. you were actually in violations of someone`s trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :[","Yeah, I went to bed at 4 and I had to be up at 6. :[",negative, violations,0.0
1297,8c1c2b26a4,always excited for a new chapter in my life. just didnt expect it to be so emotional.,so emotional.,negative,always excited for a new chapter in my life. just didnt expect it to be so emotional.,0.11764705882352941
1298,094218c2e7,in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),i`ll have to wait..,negative, i`m over with it.(,0.0
1315,3b3d48063c," it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6","but not as much,",negative, biligual sweatshop,0.0
1325,b31f52a91e,Taking 40 underpriveledged kids to the circus 2moro. BIG day planned & I still aint feeling 100%  so nervous right now..,underpriveledged,negative, nervous,0.0
1327,015a057c59,  it might be the swine flu! haha `cause i`ve got the flu,e swine flu,negative, i`ve got the flu,0.16666666666666666
1329,6599743334,i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,can`t,negative, i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy,0.3333333333333333
1338,6ecab08a38,I overslept  headache,I overslept  headache,negative, headache,0.3333333333333333
1346,49d6a06d0c,Rats the Creative VADO`s are out of stock at walmart.com I`m too late.,too late.,negative, out of stock,0.0
1372,d9d12cf0ce, I always feel guilty about it,s feel guilty,negative, guilty,0.3333333333333333
1379,05edc8f85a,net .. net .. net ..  hmm. bad weather .. weird summer!,bad weather .. weird summer!,negative, bad,0.2
1397,ec6c041943, Whom do yu wanna kill ??,kill,negative, whom do yu wanna kill,0.2
1400,1ce6042e00,"I dont like seeing my best friend cry, it breaks my heart and I dont know what to do or say",it breaks my heart,negative," i dont like seeing my best friend cry, it breaks my heart",0.36363636363636365
1406,919c02e1d9,Sob! I can`t believe I`m ending my work week at the chapter about what Augusten Burrough`s father did to Ernie the guinea pig!,I can`t believe I`,negative, sob!,0.0
1415,28aa42cf49,Just drove by fisher and I feel so sad,sad,negative, i feel so sad,0.25
1416,69b4cc5d84,am bored out of my skull.  i have got to get a job.  this SUCKS.  i need entertainment. /grumbles,.  this SUCKS,negative, bored out of my skull. i have got to get a job. this sucks.,0.0625
1421,5f814111a8,Epicfail and Joseph in class... Very long liao,Epicfail,negative,Epicfail and Joseph in class... Very long liao,0.125
1424,d4f27a0788,This is what I had to endure to get prizes of to my lucky winners  http://twitpic.com/669nm,endure,negative, this is what i had to endure,0.14285714285714285
1430,999983bd97,Nic has no idea what he`s going to do!  money is all gone!,money is all gone!,negative, nic has no idea what he`s going to do! money is all gone!,0.3076923076923077
1435,d21ee0c579,Unanticipated thunderstorm quashed camping trip,quashed,negative, unanticipated thunderstorm quashed,0.3333333333333333
1451,672b861395,Slept at my parents the bed was hard as a rock now my back feels like a rock,Slept at my parents the bed was hard as a rock now my back feels like a rock,negative, hard,0.06666666666666667
1454,2f8e80a88d,@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,s not lettin me vote 4 them,negative, its not lettin,0.25
1455,eee5181373, ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry,ugh!,negative, **** it. today doesn`t look like it`s going to work i`m sorry,0.0
1464,3afcddc07d,"****, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!",I hate that I can be a messy eater.,negative, i hate,0.25
1471,6eeb25bff2, I think that`s what`s wrong with me.  Stuffed up and when I breathe in it feels like a sore throat,wrong,negative, i think that`s what`s wrong with me. stuffed up and when i breathe in it feels like a sore throat,0.05263157894736842
1472,699c07b35c, ****. it should be recoverable. it`s just the boot part that`s messed up. grr argh. my business was on there.,. it should be recoverable.,negative, ****.,0.0
1479,debb339c32,has stuff to do but refuses to do them.  :[,has stuff to do but refuses to do them.  :[,negative, refuses,0.125
1484,3285cfbb0d,  I do not mean to laugh but a little giggle did come out - sorry,I do not mean to laugh but a little giggle did come out - sorry,negative, sorry,0.06666666666666667
1489,54acae24bc,No one wants to sit with me at lunch  I guess I`ll just bury my head in my laptop and continue to be anti-social.,No one wants to sit with me,negative, no one wants to sit with me at lunch i guess i`ll just bury my head in my laptop and continue to be anti-social.,0.3181818181818182
1498,e69012514b, I miss rollerblading down Shoreline.,I miss rollerblading down Shoreline.,negative, miss,0.2
1517,43ebf29edc,Sometimes I could swear I really am insane.,I really am insane.,negative, insane.,0.25
1518,cfc8ece057, haha IE...it`s expensive!!!! Hm...let me message you later,.it`s expensive!,negative,it`s expensive!!!!,0.0
1524,e8d2a28b66,"Really missing hockey already.  Off for a night in Dtn Naperville.  Can`t wait for the day off tomorrow,  I have to work Sunday.",Really missing hockey already.,negative, missing,0.25
1533,df0d78273e, Never ever smoking around you again.,Never ever,negative, never ever smoking around you again.,0.3333333333333333
1535,7bf530de4a,This has been a dismal week.,dismal,negative, this has been a dismal week.,0.16666666666666666
1541,ca2998c103,"Alexxx Im gona miss you today. Im so sad, noooooooo",miss,negative," im so sad,",0.0
1543,4581062c44,"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it.",Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return,negative, grrr.,0.0625
1554,9014625463,I can`t breathe well but turns out I`m not crazy.  Just inflammed lungs,inflammed,negative, i can`t breathe well but turns out i`m not crazy. just inflammed lungs,0.07692307692307693
1555,898410ba40,Waiting for Natie to come online I miss him.,I miss him.,negative, miss,0.3333333333333333
1558,20578c75d8," that truely is sad news to hear  we are all created equal, so sad to know our neighbors are such prejudice people",", so sad",negative, sad news,0.25
1582,916bdc35e3,headed to the hospital. i can`t take the pain anymore,headed to the hospital. i can`t take the pain anymore,negative, pain anymore,0.2222222222222222
1591,7e863dcf5b,Bored out of my mind!  LOL,Bored out of my mind!  LOL,negative, bored,0.16666666666666666
1605,b4202309d4,"  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful.",", awfully",negative, painful.,0.0
