,textID,text,selected_text,sentiment,len_text,len_selected_text
865,6015ac6085,  250E!!! CRAZZYYYY ! But just this summer !!!  cuz Ci are very close to RD! :s,250E!!! CRAZZYYYY ! But just this summer !!!  cuz Ci are very close to RD!,neutral,79.0,74.0
915,6970c09cfc,"_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there","I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there",neutral,120.0,112.0
927,3521fb0d31,  as long as you have someone to make out with    lol,as long as you have someone to make out with,neutral,53.0,44.0
936,ec38c9863d,_gd whoaa kinda hard :O that one that you think will be interesting enough to tell,whoaa kinda hard :O that one that you think will be interesting enough to tell,neutral,82.0,78.0
952,ed5a6ba312,My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I`m miss him    http://twitpic.com/66pn1,My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I`m miss,neutral,134.0,102.0
1033,6c2e853e4c,??????? #bash ?? ??????? ????????? ????,#bash,neutral,39.0,5.0
1053,b57188597f,  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy<3 love that dog,hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy<3 love that,neutral,98.0,92.0
1095,af60628cca,Drink #2: And at 12:45pm when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,neutral,100.0,75.0
1116,c31e69a36d, What??  Nooooooooo      There goes my weekend!,What??  Nooooooooo      There goes my week,neutral,47.0,42.0
1126,c3897a6af3,I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,neutral,127.0,87.0
1147,8263d62bf3,http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,At bus boys and poets ordering medici and white chocolate banana bread pudding,neutral,108.0,78.0
1153,6babb54cc5,_tah oh no.  *hugs*,oh no.  *hugs*,neutral,19.0,14.0
1209,7ad9625924,Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,. It wasn`t all that great but Channing Tatum is amazing!,neutral,110.0,57.0
1344,4a740beb70,In Kelantan! Good to be (sort of) home! :pI`m guilt stricken after having that turtle egg.  Really. Won`t do it again. Really.,Good to be (sort of) home! :pI`m guilt stricken,neutral,126.0,47.0
1348,d967d8fe91," diapers??  Feeding?  Cooking?  I don`t do any of that stuff!!!  Hahaha... yeah, right!  Sounds like a normal day for me.","diapers??  Feeding?  Cooking?  I don`t do any of that stuff!!!  Hahaha... yeah, right!  Sounds like a normal day for",neutral,121.0,116.0
1356,7651967ec9,"i want some grape soda, jack fowers` fault. also,  i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!","fault. also,  i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!",neutral,127.0,90.0
1358,824aa064d2, - THANKS ! My motivation is returning at about the rate I`m inputting coffee  !,THANKS ! My motivation is returning at about the rate I`m inputting coffee,neutral,80.0,74.0
1365,1e7784540e," I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",", pains been part of my life for a long time now  I hope you feel a bit better soon.",neutral,101.0,84.0
1378,db8475bb3f,SBS 2003 or SBS 2008! Damned if you do and damned if you don`t!  Fun times at GCH!,Damned if you do and damned if you don`t!  Fun times at GCH!,neutral,82.0,60.0
1419,9d152ac0aa,_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,neutral,86.0,79.0
1465,7b638ba787," WOW never seen him before , he`s bloody awesome , I think bcoz George won last year however could be bad for him  x","WOW never seen him before , he`s bloody awesome , I think bcoz George won last year however could be bad for him",neutral,116.0,112.0
1510,65a3a7d925,this is for   http://tinyurl.com/d8fgxr,this is for,neutral,39.0,11.0
1515,55c7927962,"  you can have  ice cream, I`ll have  kiss.","you can have  ice cream, I`ll have  kis",neutral,43.0,39.0
1569,8f8a38f144,_Lia  Are the drugs working?,Are the drugs working?,neutral,28.0,22.0
1614,22d2feb19f,"   I sent my donation to #Eric and wanted to put the banner on, but my avatar disappeared when I tried ~","I sent my donation to #Eric and wanted to put the banner on, but my avatar disappeared when I tried",neutral,104.0,99.0
1645,cdcbcb989b,Right all strapped in and ready to go   http://twitpic.com/4jloj,Right all strapped in and ready to go,neutral,64.0,37.0
1735,cfff74d6a3,"follow me aswel !!!!!!!! if u have twitter, follow me lool !! www.twitter.com/djarka  koool","follow me aswel !!!!!!!! if u have twitter, follow me lool",neutral,91.0,58.0
1736,62be6ead7d,Just got back from Apple Store in Robina. Managed to get a replacement iPhone because it couldn`t access the web properly. So shiny,because it couldn`t access the web properly. So shiny,neutral,131.0,53.0
1748,1843f47897,dad`s posting got postponed ONE HOUR before he was meant to leave. either going to afganistan or NOWHERE. i`m sorta happy  but he`s gutted,i`m sorta happy  but he`s gutted,neutral,138.0,32.0
1758,f9147427db, that David -- nice to know he feels so comfortable 'twitting' or 'tweeting' us.   I have a feeling he misses home.,nice to know he feels so comfortable 'twitting' or 'tweeting' us.   I have a feeling he misses home,neutral,115.0,99.0
1791,e2682e4cdb, yea he said brooke`s gonna come over to record today!  !,yea he said brooke`s gonna come over to record today!,neutral,57.0,53.0
1832,1fcd6fd06a, Family...friend... It`s good for the industry i plan on going into...Far FAR away from Ohio  I hate it here.,It`s good for the industry i plan on going into...Far FAR away from Ohio  I hate it here.,neutral,109.0,89.0
1879,03d9ed3b3d,"actually, i like almost everything about my job right now. except the part where it`s not permanent",i like almost everything about my job right now. except the part where it`s not permanent,neutral,99.0,89.0
1904,b0197ac371,Picture Day for 3 YO preschooler. Light blue striped utton down and kahkis.  Wonder what color they will be when I pick him up in 3 hours,Wonder what color they will be when I pick him up in 3 hours,neutral,137.0,60.0
1943,3effbeffea, http://tinyurl.com/64ozr7 :: from Ate Kaila Ocampo  of the.rainbowholic.me&&eerie-silence.net,from Ate Kaila Ocampo  of the.rainbowholic.me&&eerie-silence.net,neutral,94.0,64.0
1955,f59555b31d,http://twitpic.com/672s3 - What I woke up to this morning...I didn`t want to leave bed.,What I woke up to this morning...I didn`t want to leave bed.,neutral,87.0,60.0
1986,484d3adb43,made a little cover for my iphone.  the birds aren`t upside down on the back  http://twitpic.com/67tp9 & http://twitpic.com/67to5,made a little cover for my iphone.  the birds aren`t upside down on the back,neutral,129.0,76.0
2006,01942ec563,"_Ada_Franco I am working again!  Woo hoo!  Alas, I was unable to obtain an Elita-1 for your daughter.  It`s $80!","Woo hoo!  Alas,",neutral,112.0,15.0
2024,3675ceeedd,Did you know call of duty has a scenario game called 'Nazi zombies?' it`s awesome and scary at the same time,it`s awesome and scary at the same time,neutral,108.0,39.0
2049,00456b08af,_09  ii No!  GRR   oooh Aiden Lol   x,_09  ii No!  GRR   oooh Aiden Lol,neutral,37.0,33.0
2053,1beba1b31c,_lick sounds like you need a week of digital detox,sounds like you need a week of digital detox,neutral,50.0,44.0
2091,8df1edcdd3,"GoodMorning. My Father`s going balistic, and I`d say more but I`d rather not get beat, so Have a Good Day, and please text me","GoodMorning. My Father`s going balistic,",neutral,125.0,40.0
2100,72bb9e7002," that was such a tease!  I cant wait til Sunday!!  but then after that, nothing until November   oh well, i can wait!","that was such a tease!  I cant wait til Sunday!!  but then after that, nothing until November   oh well, i can",neutral,117.0,110.0
2107,accefe0040,Feeling like Romeo and Juliet with Bryant and Wallinwood as the Montagues and Capulets...   #fb,Feeling like Romeo and Juliet with Bryant and Wallinwood as the Montagues and Capulets...,neutral,95.0,89.0
2123,19bcc429e1, If I may suggest: http://tr.im/kXkw,If I may suggest:,neutral,36.0,17.0
2136,cc4a151d1d,"ï¿½anisalovesu me too. I am so so upset,especially because i fear i won`t get a Jared hug tomorrow","lovesu me too. I am so so upset,especially because i fear i won`t get a Jared hug tomorrow",neutral,98.0,90.0
2190,4130245871,_Aries Me and that person have something in common then! LOL jk....,Me and that person have something in common then! LOL jk....,neutral,67.0,60.0
2224,22e55199bd,It`s cause you give me a reason to assume.  - http://tweet.sg,It`s cause you give me a reason to assume.,neutral,61.0,42.0
2267,bc237ce820, so true   sad to say.  I`m glad you`ll be with me to be my support group ;),so true   sad to say.  I`m glad you`ll be with me to be my support group,neutral,76.0,72.0
2273,a1ee6e27ae,#twpp ..still nw in trending topics..,still nw in trending topics..,neutral,37.0,29.0
2346,9b24d6614d,Early morning R&B.  ? http://blip.fm/~5jimj,Early morning R&B.,neutral,43.0,18.0
2348,14cdd8f66e,  She doesn`t need a darn (watching my language) thing but that never stops her  &   I mapped u. U live in the boonies :-o,She doesn`t need a darn (watching my language) thing but that never stops her  &   I mapped u. U live in the boonies,neutral,122.0,116.0
2361,d1da906d59," Hi, I teach some Chinese lessons on youtube... Feel free to have a look  www.youtube.com/ChineseLearn","Hi, I teach some Chinese lessons on youtube... Feel free to have a look",neutral,102.0,71.0
2385,13d0be3942,Must be time of month: Watering eyes AGAIN!: http://tinyurl.com/cuwj2b (speciaal voor : zo vind ik ze wï¿½l leuk!  ),st be time of month: Watering eyes AGAIN!:,neutral,116.0,42.0
2386,2739530c9b,_x butbutbuttt he replied to you loads,he replied to you loads,neutral,38.0,23.0
2426,ec476224c3, bacoor  wahaha may wifi toinks new hair wiih short.. short.. http://plurk.com/p/sveoi,bacoor  wahaha may wifi toinks new hair wiih short.. short,neutral,86.0,58.0
2429,c960f01621," I`m sorry you aren`t having a good day.  cheer up though, your day doesn`t define you...",I`m sorry you aren`t having a good day.  cheer up,neutral,89.0,49.0
2440,4c114b964d," I`m all out of life preservers, sorry   But if it`s any consolation, you`re in for something really special tomorrow.","sorry   But if it`s any consolation, you`re in for something really special tomorro",neutral,118.0,83.0
2460,cffc40e08d,http://tinyurl.com/d53dmn     mcfly parody by chris moyles ****,http://tinyurl.com/d53dmn     mcfly parody by chris moyles,neutral,63.0,58.0
2479,f6f31ebdcf,No tourney `til next weekend =   http://bit.ly/2xDPf,No tourney `til next weekend,neutral,52.0,28.0
2496,8f1d4e2353,"http://bit.ly/UnRyF  I want this, but...","I want this, but...",neutral,40.0,19.0
2612,7753371e17," hiya, hows your week been?? just tried to DM you but your not following!  x","hiya, hows your week been?? just tried to DM you but your not following!",neutral,76.0,72.0
2627,7970872189,http://bit.ly/wZK3o  <--- Paranoid. I actually like it better performed live rather than the studio version.,Paranoid. I actually like it better performed live rather than the studio version.,neutral,108.0,82.0
2645,4d2e0f9522,"And the city I love, Tucson, is the 18th most miserable  http://bit.ly/k3Gmw","And the city I love, Tucson, is the 18th most miserable",neutral,76.0,55.0
2685,1e874e6352,"time always seems to fly when im with wade, its weird; but i like it... a lot!",its weird; but i like it... a lot!,neutral,78.0,34.0
2688,55f3aa08a3,  does the Creepy Lolipop guy play head esploder 5  ??,does the Creepy Lolipop guy play head esploder 5,neutral,54.0,48.0
2733,baeb1065cc,"Editors read this and nod, writers read this and take notes.  http://tinyurl.com/crm4c2","Editors read this and nod, writers read this and take notes.",neutral,87.0,60.0
2737,9d4b1e13a3,_Jen LOL - I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,neutral,123.0,112.0
2747,331b42de7d,_Mitchell i`ve never been to the opera before...don`t think that was me,i`ve never been to the opera before...don`t think that was me,neutral,71.0,61.0
2765,d4a0ea90dc,I read 'The Picture of Dorian Gray' by Oscar Wilde (on english). It`s not easy for me but I try to make out,It`s not easy for me but I try to make out,neutral,107.0,42.0
2881,0068b3323c,_lavish i told diamond to follow you. and why u aitn share the starburst,i told diamond to follow you. and why u aitn share the starburst,neutral,72.0,64.0
2931,b1e3728694,  I hope when you`re calling this the shitshow you mean that in a good way. because this will be fun.,e when you`re calling this the shitshow you mean that in a good way. because this will be fun.,neutral,101.0,94.0
2952,7db07f3e7b,"_extacy lol i know eric, i wont delete you! just people i dont really know and never talk. and bands","lol i know eric, i wont delete you! just people i dont really know and never talk. and bands",neutral,100.0,92.0
2956,86727ae7f2,http://twitpic.com/67ljj - As if teenagers need any more encouragement,As if teenagers need any more encouragement,neutral,70.0,43.0
2964,94907bfb23,Please everyone to vote for me to become the next Maxim Coors Caddy girl...only takes a few minutes  http://tinyurl.com/dloeyu,Please everyone to vote for me to become the next Maxim Coors Caddy girl...only takes a few minutes,neutral,126.0,99.0
2993,3ca99f60e0,I want to play audition with Anna ~ -mHc-SMOOCH,I want to play audition with Anna,neutral,47.0,33.0
2995,0f3d01cda7,Hmmm...strained my back  Hope it`s better tomorrow morning..,strained my back  Hope it`s better tomorrow morning..,neutral,60.0,53.0
3079,0a24bf3d0a,_bree say hi to the otters! They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,neutral,128.0,100.0
3083,d2e5c297f1,http://twitter.com/djc_yana ~ yeah. haha! why?,yeah. haha! why?,neutral,46.0,16.0
3114,f5943c8307,On the way to sthlm - it will maybe be a movie   // cool http://gykd.net,On the way to sthlm - it will maybe be a movie,neutral,72.0,46.0
3129,bced14cd92,"Marley won`t watch the French Open unless it`s in HD, which it`s not...   But my latest political ad is: http://tinyurl.com/lvsn76","Marley won`t watch the French Open unless it`s in HD, which it`s not...   But my latest political ad is:",neutral,130.0,104.0
3153,881018e088,_stack8 mady were did u go?  truck did u run away?,mady were did u go?  truck did u run away?,neutral,50.0,42.0
3187,e14d41126f,"Photo: Got my prints a few days ago, ready for the NorskArt exhibition  http://tumblr.com/xht1phgl3","Got my prints a few days ago, ready for the No",neutral,99.0,46.0
3216,32af438404,@_supernatural_ more Demon Sam!! I need it to numb the pain  ****,Demon Sam!! I need it to numb the pain,neutral,65.0,38.0
3257,ef8d8e856f,_mcflyandjb its okay!!!  x,its okay!!,neutral,26.0,10.0
3263,8d194c4e53,_INTHEMAKING :aw,aw,neutral,16.0,2.0
3337,b2e6fdc755, yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol,so sad but there is a reason as to why lol,neutral,101.0,42.0
3344,eb789743a8," Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer","Thanks for the tip! Unfortunately a major crash in my https site,",neutral,84.0,65.0
3391,4967155e18,_Cochran Hi Corey.. just saw your reply now.. here it is 5:30PM .. an I have a long night coming...,Hi Corey.. just saw your reply now.. here it is 5:30PM .. an I have a long night coming...,neutral,99.0,90.0
3408,b876789255,_1210 I`m not going till Wednesday,I`m not going till Wednesday,neutral,34.0,28.0
3445,16b0e0e6bb,"It`s this year. Can`t catch it, won`t be in NY till Oct 2010  http://bit.ly/AF8JT","It`s this year. Can`t catch it, won`t be in NY till Oct 2010",neutral,81.0,60.0
3511,7a3f00a1fe,Tapit:E446WWHLLYAR TK3H6694PRMP 9R46TAHXEFKT please @ reply me if you win! Thanks!,please @ reply me if you win! Thanks!,neutral,82.0,37.0
3572,c136653476,"Tati, I sent you an emal doll, did you get it?    ","Tati, I sent you an emal doll, did you get it?",neutral,50.0,46.0
3587,cb5e8184f5," heh, thats the same theme I used on http://leetbix.net","heh, thats the same theme I used",neutral,55.0,32.0
3602,974b2c5636,"_mcflyandjb in heaven, i`ll go everywhere","in heaven, i`ll go everywhere",neutral,41.0,29.0
3605,65d976c36b,"  I may see the sun come up. All my bits are sore today - but life is still grand  Tomorrow is a new day! Sleep well, Friend!",". All my bits are sore today - but life is still grand  Tomorrow is a new day! Sleep well, Friend",neutral,125.0,97.0
3688,e9ef6f77f0,_Elaine lol y i see ya twitts all tha time n i didnt get this one till right now lol and u never get mines  **** twitta,y i see ya twitts all tha time n i didnt get this one till right now lol and u never get mines  ****,neutral,119.0,100.0
3699,e546548dc7,_benson It`s raining where I am. I wish it wasn`t.,It`s raining where I am. I wish it wasn`t.,neutral,50.0,42.0
3764,8994865218,Last song .. then I really have to go  ? http://blip.fm/~5jbvo,Last song .. then I really have to go,neutral,62.0,37.0
3793,06e703018b,_GiiGgl3z lmao ight im dun wit the faces lmao id rather see urs tho  lol,lmao ight im dun wit the faces lmao id rather see urs tho  lol,neutral,72.0,62.0
3858,2f58261ffa, i have to work tonight.  *M*,i have to work tonight.,neutral,29.0,23.0
3864,6064742680,P-Nutt got a new collar and leash today  http://apps.facebook.com/dogbook/profile/view/1034415,P-Nutt got a new collar and leash today,neutral,94.0,39.0
3930,afcf08a2d0,"http://is.gd/IQ03 Microsoft has released Zune also in Europe, no HD for us","Microsoft has released Zune also in Europe, no HD for us",neutral,74.0,56.0
4067,1f27adbaa5," , Just read an article that buying IP`s doesn`t necessary mean to get developement teams . Does that mean   ?",", Just read an article that buying IP`s doesn`t necessary mean to get developement teams . Does that mean",neutral,110.0,105.0
4083,452e060f62,About to make **** happen  *Pu+ !+ 0n M3*,About to make **** happen,neutral,41.0,25.0
4141,f1d8f49520," Morning John, yes I do, however I have a diary clash and sadly can`t attend!",sadly,neutral,77.0,5.0
4148,1172ae9fcc,"   Oh Chris, so sorry about Mr. Raccoon. Obviously NOT a FEMALE, cuz any female of ANY SPECIES would adore you.   Hugs, Angel","Oh Chris, so sorry about Mr. Raccoon. Obviously NOT a FEMALE, cuz any female of ANY SPECIES would adore you.   Hugs, Ang",neutral,125.0,120.0
4299,844c3a5947,http://pic.gd/fad84c One Sunday night at Helsinki. We hadn`t drink anything... xD yeah RIGHT!,One Sunday night at Helsinki. We hadn`t drink anything... xD yeah RIGHT!,neutral,93.0,72.0
4412,ee5b47b5a9, I know exactly what you are saying.. its so not cool... that is why tapes were better  :p,g.. its so not cool... that is why tapes were better,neutral,90.0,52.0
4450,52be3592c9,_carter The video is `private I cant see it,The video is `private I cant see it,neutral,43.0,35.0
4506,46b63cf74e," ?. Pick up that, as fast you can!","Pick up that, as fast you can!",neutral,34.0,30.0
4524,7e9df3893e," Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me","That is awesome, the HM was tough for me",neutral,97.0,40.0
4561,c8fe93abf7, hey  how are you?  x,hey  how are you?,neutral,21.0,17.0
4562,94685b4441,"_Cullen26 yes, yes it is.","yes, yes it is.",neutral,25.0,15.0
4580,7892df6e65, yupp t`s better than people being rude to her  x,yupp t`s better than people being rude to her,neutral,49.0,45.0
4589,8b56a3a5b8,Cooking brown rice  http://bit.ly/gihac,Cooking brown rice,neutral,39.0,18.0
4592,1859019d51, argh. Interested. Time maybe can`t go. Maybe.,argh. Interested.,neutral,46.0,17.0
4594,f4b44547ce,_Kay Morning! Hows your day. Hope you`re not another lying in the sun,Morning! Hows your day. Hope you`re not another lying in the sun,neutral,69.0,64.0
4612,91b4a40cfe, http://twitpic.com/4wrxq - whens your little gingg getting twitter ? from g + j,whens your little gingg getting twitter ? from g + j,neutral,80.0,52.0
4655,d290b62835,"???ï¿½ï¿½  ???CE d grade?mock?????, ???????",?CE d grade?mock?,neutral,43.0,17.0
4661,dd2b941fef,"[stapler haiku] Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I`m a stapler...","Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I`m a stapler...",neutral,99.0,83.0
4684,de5afb99a6,"Sorry if I`m unsociable I`m loading up stock in the shop, mums making me",Sorry if I`m unsociable I`,neutral,72.0,26.0
4790,dd88d659cf,",  In pre-Twitter days, I`d need   to wait  for a formal  invitation  to speak on edu2.0  from   #Y4IT",",  In pre-Twitter days, I`d need   to wait  for a formal  invitation  to speak on edu2.0  from",neutral,102.0,94.0
4800,8e5bc8627a, that gets around the problem I had of doing it all myself  good idea.,d the problem I had of doing it all myself  good idea.,neutral,70.0,54.0
4849,8bbda7677f, I am with you. -#FollowFriday is easy enough for those who are annoyed by it.  I recommend relatively few people anyway.,-#FollowFriday is easy enough for those who are annoyed by it.  I recommend relatively few people anyway.,neutral,121.0,105.0
4863,7fd1786659,_louise so i can just watch that again  x,so i can just watch that again  x,neutral,41.0,33.0
4866,bb30655041,  http://tinyurl.com/mdr7b4 I just noticed that too,4 I just noticed that too,neutral,51.0,25.0
4870,acd5a27220,    Go get `em!  lol,Go get `em!,neutral,20.0,11.0
4882,7937b0cfa5,http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?,My glass is empty. Will someone be a dear and fetch me another?,neutral,90.0,63.0
4893,05cc0a3d64,"Tired from work. I hate closing, eek. But all smiles today. Aloha Kitchen, yum.","Tired from work. I hate closing, eek. But all smiles today.",neutral,79.0,59.0
4989,e71be29f7d,says just passed by to say hi  busy with movie task from school =. = http://plurk.com/p/rozcz,says just passed by to say hi  busy with movie task from school,neutral,93.0,63.0
5001,9c825ecb4b,But i dont mind the long line when theres a super cutie in front of me. Too bad he`s wearing a **** bracelet with a girls name on it,super cutie in front of me. Too bad he`s wearing a **** bracelet with a girls name on it,neutral,132.0,88.0
5003,67e69018ab,Really? I can only go in 1Direction at a time?! UGh!  Gotta take authority over the time 2day!  Say hello! Don`t be a stranger! BeBlessed!,UGh!  Gotta take authority over the time 2day!  Say hello! Don`t be a stranger! BeBlessed!,neutral,138.0,90.0
5006,17f403bfbd,http://twitpic.com/4w5sy - my babe,my babe,neutral,34.0,7.0
5053,cc443795be,Sick  Right now very thankful for my chicken soup and my bed!,Sick,neutral,61.0,4.0
5068,3781398398,curious if they fixed the window handle in our room in the meantime  #edc,curious if they fixed the window handle in our room in the meantime,neutral,73.0,67.0
5159,0455e2c1e3,The last day of the last time I visit my parents as an unmarried woman  (85/21589) ( http://bit.ly/Mo0QN  ),The last day of the last time I visit my parents as an unmarried woman,neutral,107.0,70.0
5244,7554ff6a38," haha no, I was referring to the band... http://www.myspace.com/lcdsoundsystem","haha no, I was referring to the band...",neutral,78.0,39.0
5258,c22ff98d0e, I`m just bustin` ya chops; it`s not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,; it`s not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,neutral,123.0,97.0
5297,ad9ed9c5e9,"mmm mmm mmm! tss tsss tss. LOL, having way too much fun being bored.  i miss him",". LOL, having way too much fun being bored.  i miss him",neutral,80.0,55.0
5317,855178f7c4, That`s true  I never believe my staff when they call in sick on Mondays or Fridays - LOL!,ll in sick on Mondays or Fridays - LOL!,neutral,90.0,39.0
5345,a1601594c3,http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,Love the shades girl,neutral,64.0,20.0
5349,98b04f4f4f," I wanna go, but I so freaking broke   Have fun for me","I wanna go, but I so freaking broke   Have fun for",neutral,54.0,50.0
5352,a05ff539bd,We*d Man On His Way     Yess!!    Time 2 Wake Up 4 Real  lol,We*d Man On His Way     Yess!!    Time 2 Wake Up 4 Real,neutral,60.0,55.0
5420,cf1d274111, Yeah ! I downloaded her whole album. :'> THE FAME ! I miss you taking care of me  Hahah !,THE FAME ! I miss you taking care of me  Hahah,neutral,90.0,46.0
5434,3cff023bc6," Awww, here...WAZ UUUUP!!!   Seriously, glad y`all had fun.  Too bad my invite got lost in the mail lol. peace. xo","Seriously, glad y`all had fun.  Too bad my invite got lost in the mail",neutral,114.0,70.0
5545,cf887ad02f,20 John: :   http://tinyurl.com/cq5nkp,20 John:,neutral,38.0,8.0
5569,60003ba866, my name too    (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),my name too,neutral,70.0,11.0
5590,307f1f1c9a,_couper  I`ve heard that. 2 of my sons have seen it and one wants to see it again. I can`t wait to get there,I`ve heard that. 2 of my sons have seen it and one wants to see it again. I can`t wait to get there,neutral,108.0,99.0
5632,b70b425ce7,is seventeen today  and is trekking from chorleywood to see    and  in cambridge  <3,is seventeen today  and is trekking from chorleywood to see    and  in cambridge,neutral,84.0,80.0
5697,e8c90dee68,Im kinda bored anyone else I think ill listen to some hip hop its pretty good you should check it out www.bseresults.net,Im kinda bored anyone else I think ill listen to some hip hop its pretty good you should check it out ww,neutral,120.0,104.0
5703,6d4f0bd457,_98 Kevin can`t leave work until 2,Kevin can`t leave work until 2,neutral,34.0,30.0
5737,b087af5ae9,"Work, work, work and why did I get so tired all of a sudden.  , nicole told me you say `Hi` aww she was so enthusiastic  hi paul","I get so tired all of a sudden.  , nicole told me you say `Hi` aww she was so enthusiastic  hi paul",neutral,128.0,99.0
