,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
3263,8d194c4e53,_INTHEMAKING :aw,aw,neutral, _inthemaking :aw,0.0
3414,ddc2991848," **** none. But yea last weekend was crazy, i think i partied to hard, thats why im sic.","**** none. But yea last weekend was crazy, i think i partied to hard, thats why im sic.",neutral, **** none.,0.11764705882352941
3528,f317bd4cc7, haha. I know. And then I need a new car too. Oh ps I got a speeding ticket.,haha. I know. And then I need a new car too. Oh ps I got a speeding ticket.,neutral, haha. i know.,0.2
4141,f1d8f49520," Morning John, yes I do, however I have a diary clash and sadly can`t attend!",sadly,neutral," morning john, yes i do, however i have a diary clash and sadly can`t attend!",0.07142857142857142
4592,1859019d51, argh. Interested. Time maybe can`t go. Maybe.,argh. Interested.,neutral, argh. interested. time maybe can`t go. maybe.,0.2857142857142857
4655,d290b62835,"???ï¿½ï¿½  ???CE d grade?mock?????, ???????",?CE d grade?mock?,neutral," ???ï¿½ï¿½ ???ce d grade?mock?????, ???????",0.14285714285714285
4684,de5afb99a6,"Sorry if I`m unsociable I`m loading up stock in the shop, mums making me",Sorry if I`m unsociable I`,neutral," sorry if i`m unsociable i`m loading up stock in the shop, mums making me",0.2857142857142857
5053,cc443795be,Sick  Right now very thankful for my chicken soup and my bed!,Sick,neutral, sick right now very thankful for my chicken soup and my bed!,0.09090909090909091
5305,a646023619,ughhh. i think my plans are ruined. i was excited too.,ughhh. i think my plans are ruined. i was excited too.,neutral, ughhh.,0.1
5569,60003ba866, my name too    (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),my name too,neutral, my name too (soulja boy tell `em live live > http://ustre.am/2uhs),0.3
6178,40b153dc2c,"when i decide to be on time for something, that devil is always there to counteract! Frustrating but not discouraging...",counteract! Frustrating but not discouraging...,neutral," when i decide to be on time for something, that devil is always there to counteract! frustrating but not discouraging...",0.2631578947368421
6282,0633a06f19," that made me laugh.  Sorry Grets, but you are not going to the Pool Room.",that made me laugh.  Sorry Grets,neutral," that made me laugh. sorry grets, but you are not going to the pool room.",0.3125
6383,77325a1b7e, Happened to me the other day.  Was wearing a necklace that made a white spot on my chest.,Happened to me the other day.  Was wearing a necklace that made a white spot on my chest.,neutral, happened to me the other day.,0.35294117647058826
6394,59f9c4df12,Feeling like **** today. Hopefully a nice relaxing swim will do the trick,Feeling like **** today. Hopefully,neutral, feeling like **** today. hopefully a nice relaxing swim will do the trick,0.38461538461538464
6519,b7ac42b539," download iEmoticons from the AppStore. 0,79ï¿½. But cool","download iEmoticons from the AppStore. 0,79ï¿½. But cool",neutral, but cool,0.25
6998,cf80e6a4e0,"hmm, anyone else have their iPhone`s earphones` grey rubber disintegrating?",disintegrating?,neutral," hmm, anyone else have their iphone`s earphones` grey rubber disintegrating?",0.1
7438,0af54b2e65, Yes I did see Mitch Hedberg and the whole floss thing.  He`s hilarious.  I <3 him.  Poor guy,g.  He`s hilarious.  I <3 him.  Poor,neutral, yes i did see mitch hedberg and the whole floss thing. he`s hilarious. i <3 him. poor guy,0.3333333333333333
7476,482a27ec9b,the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha,apparently its nothing! fewfffff! bloodtests suck...  haha,neutral, the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck... haha,0.3333333333333333
7478,d4b909a8db,"I painted my nails metallic blue but Iï¿½m really sure about how it looks, itï¿½s a pretty weird color!! I think itï¿½s cool",a pretty weird color!! I think itï¿½s cool,neutral," i painted my nails metallic blue but iï¿½m really sure about how it looks, itï¿½s a pretty weird color!! i think itï¿½s cool",0.38095238095238093
7660,62a384e33a,I saw Thirst which is korean movie made by chan-wook Park . this movie isn`t hard but good,this movie isn`t hard but good,neutral, i saw thirst which is korean movie made by chan-wook park . this movie isn`t hard but good,0.35294117647058826
8546,6ad46879d5,  don`t remind me.. Was supposed 2 meet up with the Homie  2 4 that show..  Ack! So kill it please..do the **** thang!,Ack! So kill it please..do the **** than,neutral, don`t remind me.. was supposed 2 meet up with the homie 2 4 that show.. ack! so kill it please..do the **** thang!,0.3181818181818182
8611,80a0a9f2aa,"RP : RP : RP : My crack...--Here`s mine. ?----  I just threw up in my mouth lil bit--It`s my legs, LOL.","RP : RP : RP : My crack...--Here`s mine. ?----  I just threw up in my mouth lil bit--It`s my legs, LOL.",neutral, rp : rp : rp : my crack...--here`s mine.,0.3125
9385,b1bc6d98f9,Wish i was famous like some of d people im following,Wish i was famous li,neutral, wish i was famous like some of d people im following,0.3333333333333333
9701,554715bc64,Got back from a week of jamming in the French city of Meyrueis. Feel hella replenished,Feel hella replenished,neutral, got back from a week of jamming in the french city of meyrueis. feel hella replenished,0.2
9882,251471ba64,"Mom asking if I`m feeling better after dargah visit. Dad swears he sees +ve 'change'.  I am amused.   But yeah, still depressed","I am amused.   But yeah, still depresse",neutral," mom asking if i`m feeling better after dargah visit. dad swears he sees +ve 'change'. i am amused. but yeah, still depressed",0.2608695652173913
9907,fc3b643847,"Beer, garden, IPOD, Friday night, shame I`ve got to work tomorrow",shame,neutral," beer, garden, ipod, friday night, shame i`ve got to work tomorrow",0.09090909090909091
9954,14aaecc740, yes. Yes you will.,yes. Yes you will.,neutral, yes.,0.25
10000,181bc1ee99, no way - those are great words.  Boys don`t get to own them.    Oh and was it your bday?,no way - those are great words.,neutral, no way - those are great words. boys don`t get to own them. oh and was it your bday?,0.3684210526315789
10038,a9b2489b10,"last leg of my travels today. totally exhausted, but thank goodness 'Ed' is keeping me company","totally exhausted, but thank goodness 'Ed'",neutral," last leg of my travels today. totally exhausted, but thank goodness 'ed' is keeping me company",0.375
10119,e0a6f451c8,work work work. my desk is a sea of papers and I am the dinghy being tossed about in its waves.,work work work. my desk is a sea of papers and I am the dinghy being tossed about in its waves.,neutral, work work work.,0.1
10276,1f23bb0860," Abrams has his quirks for sure.   I`ll summarize my post like this: decent flick, but NOT a 'Star Trek' story.","s: decent flick, but NOT a 'Star Trek' story",neutral," abrams has his quirks for sure. i`ll summarize my post like this: decent flick, but not a 'star trek' story.",0.3181818181818182
10947,dfa12a52eb,Happy Star Wars Day? OHHHH...now I get it. May the 4th be with you.  love it. (and mondays). (sorry again) #starwarsday,love it. (and mondays). (sorry again),neutral, happy star wars day? ohhhh...now i get it. may the 4th be with you. love it. (and mondays). (sorry again) #starwarsday,0.3
11083,1f641e94b4," OHMIGOD, I would have loved that. Alas, there was just lots of gun play. No dancing","I would have loved that. Alas,",neutral," ohmigod, i would have loved that. alas, there was just lots of gun play. no dancing",0.375
11553,7624520ec2, i know...,i know.,neutral, i know...,0.3333333333333333
11560,70adfb7cef,THE VIDEO IS FINALLY DONE WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!,WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!,neutral, the video is finally done wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!,0.16666666666666666
11665,3b77b2b06e,Im so done defending him. Im going to bed and im gonna give my mom a happy mothers day.  at least ill try.,Im so done defending him. Im going to bed and im gonna give my mom a happy mothers day.  at least ill try.,neutral, im so done defending him.,0.23809523809523808
11959,9de1831813, Per Taylor Dayne conversation.  It`s official I am now jealous of you.,It`s official I am now jealous of you,neutral, per taylor dayne conversation.,0.0
12565,5d80bf1e55," Is it bad that I`m sitting here watching a #Pens replay and getting excited? I think it`s the coffee, but... Who knows.",bad,neutral," is it bad that i`m sitting here watching a #pens replay and getting excited? i think it`s the coffee, but... who knows.",0.045454545454545456
12809,86fb8984c4, yes indeed                                                                                               here I am again,yes indeed,neutral, yes indeed here i am again,0.3333333333333333
13290,63446bccbb,Watching the Killers on JR. They are awesome. Too late though. They just cut the programme mid song. Twas my favourite too.,They are awesome. Too late though.,neutral, watching the killers on jr. they are awesome. too late though. they just cut the programme mid song. twas my favourite too.,0.3
13338,70c8ea0595,- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. lol  Have a BLESSED morning.,Have a BLESSED morning.,neutral, - it`s time for kathleen to go to bed... waaaaay past time. don`t expect to hear from me before noon. lol have a blessed morning.,0.17391304347826086
13965,9d57d8f6d6, hï¿½rlich!,rlich!,neutral, hï¿½rlich!,0.0
14127,e85d70f2bd,Exhausted. Thank goodness my race is almost here! All this training is ruining my social life,Exhausted. Thank goodness,neutral, exhausted. thank goodness my race is almost here! all this training is ruining my social life,0.21428571428571427
14365,88a2fee6db," hey ty for tip, wifi networking is one if my many talents  I`ll get on it when I can be bothered LOL",n I can be bothered LOL,neutral," hey ty for tip, wifi networking is one if my many talents i`ll get on it when i can be bothered lol",0.21739130434782608
14688,0d9c44bc7b,oh thats hard-going. I`m writing a book at the moment so am motivating myself to press on with that.,oh thats hard-going. I`m writing a book at the moment so am motivating myself to press on with that.,neutral, oh thats hard-going.,0.15789473684210525
14992,3fd6003d6b, did u try taco n mac n cheese pizza???? I`m so cravin it right now BUT all the good food makes me sick,BUT all the good food makes me sick,neutral, did u try taco n mac n cheese pizza???? i`m so cravin it right now but all the good food makes me sick,0.36363636363636365
15654,10696c8559,_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL,sorry but so happy,neutral, _rade oh no the economy gotcha? sorry but so happy that you got another one in la! enjoy socal! ahahaay! lol,0.19047619047619047
15926,73fb731c75," oh, left off the  smiley face so you knew I was kidding.",w I was kidding.,neutral," oh, left off the smiley face so you knew i was kidding.",0.23076923076923078
16044,d5e3295cad, say Hi Nikki pleaseeeeee...lol.   (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),say Hi Nikki pleaseeeeee.,neutral, say hi nikki pleaseeeeee...lol. (soulja boy tell `em live live > http://ustre.am/2uhs),0.25
16228,2d491261d3, haha it`s great. but i slept horribly last night.,haha it`s great. but i slept horribly last night.,neutral, haha it`s great.,0.3333333333333333
16231,2131fe85df,"What to do this weekend, what to do. Don`t think I`ll be making it to Michigan for The Wonder Years.","What to do this weekend, what to do. Don`t think I`ll be making it to Michigan for The Wonder Years.",neutral," what to do this weekend, what to do.",0.35294117647058826
16325,60c700093b, still got one more year with t-mo tho  I might just get a new bb curve. Not too concerned abt apps. Batt life is important,. Not too concerned abt apps. Batt life is important,neutral, still got one more year with t-mo tho i might just get a new bb curve. not too concerned abt apps. batt life is important,0.34615384615384615
16665,abc732bed8,_assassin  We are soooo sorry   We love kitties and know how much they become a part of you.,We are soooo sorry   We love kittie,neutral, we are soooo sorry we love kitties and know how much they become a part of you.,0.29411764705882354
16770,2fc9753d4b,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!",Hopefully! Vacations suck!,neutral," bike trail - 1, miss j - 0, two front teeth - 1 1/2.. hopefully! vacations suck!",0.2
16787,55351d06ed,Michael Porter is haunting me again. Ugh. The five forces. But I don`t remember the other 9 strategies for competitive advantage.,Michael Porter is haunting me again. Ugh. The five forces. But I don`t remember the other 9 strategies for competitive advantage.,neutral, michael porter is haunting me again.,0.3
16930,e458e70097, I hear ya. You`ll have to go back to work to rest.,I hear ya. You`ll have to go back to work to rest.,neutral, i hear ya.,0.3
17010,c21c444fa4, aww I don`t want u to suffer  it`s just Midol isn`t working for me. Grrrrr I hate that stuff. But I love you tho.,r I hate that stuff. But I love you tho.,neutral, aww i don`t want u to suffer it`s just midol isn`t working for me. grrrrr i hate that stuff. but i love you tho.,0.34782608695652173
17084,90de57062c,_deadgirl :hard stare:,hard stare:,neutral, _deadgirl :hard stare:,0.25
17116,6fc00bea3d, why would you want a clone? Unboxed a new 24' iMac last night and it`s beautiful! Too bad it`s not mine,it`s beautiful! Too bad it`s not mine,neutral, why would you want a clone? unboxed a new 24' imac last night and it`s beautiful! too bad it`s not mine,0.3157894736842105
17339,02fef838dd,_nobel ? ? ?????????????  = ?????? ?????? ?????? ?? ????,_nobel,neutral, _nobel ? ? ????????????? = ?????? ?????? ?????? ?? ????,0.14285714285714285
17613,66340e4f32, Thanxx for following me,Thanxx,neutral, thanxx for following me,0.25
17653,d94ab95b96,Listening to We Are Dead Ocean by . I actually listened twice in a row because it`s so short and pleasing,because it`s so short and pleasing,neutral, listening to we are dead ocean by . i actually listened twice in a row because it`s so short and pleasing,0.2857142857142857
17756,768985a78d,: Awwwwwwwwwwe  That okay. I missed bullet`s concert in toronto last summer `cause i had just gotten into them D:,Awwwwwwwwwwe  That okay. I missed bullet`s concert,neutral, : awwwwwwwwwwe that okay. i missed bullet`s concert in toronto last summer `cause i had just gotten into them d:,0.3684210526315789
17986,aa5fa36e1d, not cool.   Hope you feel better. I went up there for breakfast buy you were gone.,not cool.   Hope you feel bette,neutral, not cool. hope you feel better. i went up there for breakfast buy you were gone.,0.3125
18044,75d3edbeda,"Work, work. Me not that kind o` orc.","Work, work. Me not that kind o` orc.",neutral," work, work.",0.25
18142,fefc0ed9f0, wow.???? ??????,wow.,neutral, wow.???? ??????,0.0
18248,aaa58df6d1, thanks.  Sadly the streamline top II is sold out. Streamline trunk II is available in my size but that only gets me halfway.,thanks.  Sadly the streamline top II is sold out. Streamline trunk II is available in my size but that only gets me halfway.,neutral, thanks.,0.05
18542,751762b290, Doing okay. How are you doing?,Doing okay.,neutral, doing okay. how are you doing?,0.3333333333333333
19036,4b6c0e54c6,http://twitpic.com/6698b - Clean,Clean,neutral, http://twitpic.com/6698b - clean,0.3333333333333333
19047,652d472cfe,where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.,whats good and whats bad.,neutral, where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.,0.21052631578947367
19454,39e1a56fa9, It`s NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,It`s NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,neutral, it`s not good.,0.125
19473,f4799c7882," Not sure if this is good or bad news for you, but you are listed as staff: http://www.thesixthaxis.com/staff/","good or bad news for you,",neutral," not sure if this is good or bad news for you, but you are listed as staff: http://www.thesixthaxis.com/staff/",0.3333333333333333
19523,d663086e9e, ... Yes.  That`s what I said.,... Yes.  That`s what I said.,neutral, ... yes.,0.3333333333333333
19615,78dbc5841a,"getting ready to head out to Camp Allen.  Unless somethings changed, that means no phone service for about 24 hours.","getting ready to head out to Camp Allen.  Unless somethings changed, that means no phone service for about 24 hours.",neutral, getting ready to head out to camp allen.,0.3684210526315789
19722,25d1b2a8cc,"http://twitpic.com/4w67l - Im hard core, you just dont know it.","Im hard core,",neutral," im hard core, you just dont know it.",0.375
19848,8fb17e7f1b,I`m having a fantastically miserable time so far...,fantastically miserable time,neutral, i`m having a fantastically miserable time so far...,0.375
20120,c6fb921d11,Left 'Up' due to out-of-focus projection.   Hopefully my complaints to theater management will get it fixed for everyone else still there.,Left 'Up' due to out-of-focus projection.   Hopefully my complaints to theater management will get it fixed for everyone else still there.,neutral, left 'up' due to out-of-focus projection.,0.3
20243,057c1e5ec8,"I just got back from lunch at Rick & Brianï¿½s Cafe with my father; I had the French Dip and it was good, but his omelette was burnt.","it was good, but his omelette was burnt.",neutral," i just got back from lunch at rick & brianï¿½s cafe with my father; i had the french dip and it was good, but his omelette was burnt.",0.2692307692307692
20313,272ae98bc0,"Tuesday, Wednesday, Thursday and Friday = EXAM !!  wow ****",wow ****,neutral," tuesday, wednesday, thursday and friday = exam !! wow ****",0.2
20332,eaff7a4bbc, Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...,Nice place. Missing Shan-e-Punjab though...,neutral, dun wanna travel all the way there for lunch now. but yeah i have been there. nice place. missing shan-e-punjab though...,0.23809523809523808
20819,5dc49c6fac,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.","took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",neutral, took a math test today.,0.25
20872,d46919e9b3,is wondering where all her friends went...,is wondering wh,neutral, is wondering where all her friends went...,0.25
21065,c7f52db5c8,"Thanks everyone. Unfortunately nothing can be done. The sales speak for themselves, and if that doesn`t convince Diamond, nothing will.",Thanks everyone. Unfortunately nothing can be done.,neutral," thanks everyone. unfortunately nothing can be done. the sales speak for themselves, and if that doesn`t convince diamond, nothing will.",0.3684210526315789
21232,bcf3831813,some1 said if your not online your a no1...if you are online your a no1.. can`t bloody win  lol,can`t bloody win  lol,neutral, some1 said if your not online your a no1...if you are online your a no1.. can`t bloody win lol,0.26666666666666666
21553,7c939a446b, yeah I know. I need to get back into twittering. Just haven`t felt it.  but yes. Thank god for txtin. I would miss ya more,s. Thank god for txtin. I would miss ya more,neutral, yeah i know. i need to get back into twittering. just haven`t felt it. but yes. thank god for txtin. i would miss ya more,0.375
21672,8c165956ef,@_supernatural_ http://twitpic.com/4w8cw - Mishaaaaaaaa!!!,@_supernatural_ http://twitpic.com/4w8cw - Mishaaaaaaaa!!!,neutral, mishaaaaaaaa!!!,0.25
21807,4d727a948d," yeah, I was always changing my hair color in High School.  I`ve pretty much worn everything LOL. Some good, some baaaaaaaad",". Some good, some baaaaaaaad",neutral," yeah, i was always changing my hair color in high school. i`ve pretty much worn everything lol. some good, some baaaaaaaad",0.14285714285714285
21977,133a3a86df,"No profile pic or bio, few or no updates, lots of following and no followers! Zap! Pow! Block! Annoying but strangely satisfying!",Annoying but strangely satisfying!,neutral," no profile pic or bio, few or no updates, lots of following and no followers! zap! pow! block! annoying but strangely satisfying!",0.21052631578947367
22458,a99c5a9003,"first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh",Happeh,neutral," first up, make up for lost time with jelly. jalan jalan just the 2 of us and the rollerblading with my pumpkin. happeh",0.05
22815,f782648201,I am the queen of losing things. Important things like keycards and bus passes.,losing,neutral, i am the queen of losing things. important things like keycards and bus passes.,0.07142857142857142
22836,2a7f64f806," Well, yeah. But my mom doesn`t wanna drive all the way to Sac if we were that far away.","Well, yeah. But my mom doesn`t wanna drive all the way to Sac if we were that far awa",neutral," well, yeah.",0.10526315789473684
23038,2d059a6bc6, SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM - never freu you zu frï¿½h,SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM,neutral, screaaaaaaaaaaaaaaaaaaaaaaaaaaaaam - never freu you zu frï¿½h,0.14285714285714285
23335,997a8e8eca," Thanks!  Got tired of bleaching it. The, um, bangs there... yeah they are actually a bit purple >_> oopsie.",Thanks!  Got tired of bleaching it.,neutral," thanks! got tired of bleaching it. the, um, bangs there... yeah they are actually a bit purple >_> oopsie.",0.3157894736842105
23536,ccce222da3,"Work is MAD blocking sites! No fun  but they aren`t blocking facebook, twitter & youtube",MAD blocking,neutral," work is mad blocking sites! no fun but they aren`t blocking facebook, twitter & youtube",0.14285714285714285
24069,bd085c659b,   G`night!,G`night,neutral, g`night!,0.0
24104,04ab112629, Yum...wish we could be there today. I have a cold and don`t want to infect others...so we will miss our Friday session.,Yum...wish we could be there today. I have a cold and don`t want to infect others...so we will miss our Friday session.,neutral, yum...wish we could be there today.,0.2857142857142857
24199,68695df983, It means 'luv ya' in Zulu/Xhosa. Probably spelt it wrong lol. Can`t b creative 2day ...tired  so translated,. Probably spelt it wrong lol.,neutral, it means 'luv ya' in zulu/xhosa. probably spelt it wrong lol. can`t b creative 2day ...tired so translated,0.2777777777777778
24201,8919a7af68,working today.  Can`t find my key so I had to borrow Miranda`s.,working today.  Can`t find my key so I had to borrow Miranda`s.,neutral, working today.,0.16666666666666666
24210,bbe7ecfac4,BYEEEEE!!!,BYEEEEE!!,neutral, byeeeee!!!,0.0
24476,a7ed3e4509, yea just fun dive..a bit scary sometimes but fun.  u like diving?,.a bit scary sometimes but fun.,neutral, yea just fun dive..a bit scary sometimes but fun. u like diving?,0.38461538461538464
24574,d7d5016497,_and_Easy when will these stores in Sacramento open? Been waiting and nothing,Been waiting and nothing,neutral, _and_easy when will these stores in sacramento open? been waiting and nothing,0.3333333333333333
25376,295fee573c,"feeling better, still coughing. : / not moving on yet. its impossible.","feeling better, still coughing. : / not moving on yet. its impossible.",neutral," feeling better, still coughing.",0.3333333333333333
25557,4f515f5e73,"hmm. I`m disappointed. I made 2 servings, and I am only able to enjoy one because my stomach is now full  wishing I had company to help.","hmm. I`m disappointed. I made 2 servings, and I am only able to enjoy one because my stomach is now full  wishing I had company to help.",neutral, hmm.,0.041666666666666664
25588,222a05a0c7,"i thought ur account  was fake. but, it`s true, sorry david!","it`s true, sorry david!",neutral," i thought ur account was fake. but, it`s true, sorry david!",0.36363636363636365
25691,f7286fdad8,@_Cheshire_Cat_,_Cheshire_Cat_,neutral, @_cheshire_cat_,0.0
25698,c3e5cad4ff," A couple of other guys did similar mods, so it may not have been mine that  saw. I think mine`s the best, but I`m biased",". I think mine`s the best, but I`m biased",neutral," a couple of other guys did similar mods, so it may not have been mine that saw. i think mine`s the best, but i`m biased",0.3076923076923077
25745,e1697e3228,"feels the same way about cherry-flavored items as Shannt does about grapes. Strange, but true.","Strange, but true.",neutral," feels the same way about cherry-flavored items as shannt does about grapes. strange, but true.",0.21428571428571427
25938,4f2a6454af,Evenin` tweeties. Phew it`s been hot! Not that I`m complaining. Walked 4 miles into town today and felt all hot `n sweaty   Was nice tho.,felt all hot `n sweaty   Was nice tho.,neutral, evenin` tweeties.,0.0
25996,6a3bf13772,   poor Stuart...    I was wondering where he was!  Moving day today!I expect a welcome cake or case neighbor .... hehehe,poor Stuart...    I was wonde,neutral, poor stuart... i was wondering where he was! moving day today!i expect a welcome cake or case neighbor .... hehehe,0.19047619047619047
26025,03c0a20b7a, lol - funny thing is - I don`t even know what class or even race half of the people in our group are   yes - I am THAT clueless,- I am THAT clueles,neutral, lol - funny thing is - i don`t even know what class or even race half of the people in our group are yes - i am that clueless,0.15384615384615385
26154,7449ddd855,Going Outro... Peace.,Peace.,neutral, going outro... peace.,0.3333333333333333
26174,1556b527e4,"for about 3-4 weeks now i got 3 different pairs of strighters thinking they wasn`t working, just realised it was on the lowest setting",just realised it was on the lowest setting,neutral," for about 3-4 weeks now i got 3 different pairs of strighters thinking they wasn`t working, just realised it was on the lowest setting",0.3333333333333333
26230,01cf51125c, check out review for the movie Fighting - http://bit.ly/Fle9j  Hilarious!! leave this guy a comment!,Hilarious,neutral, check out review for the movie fighting - http://bit.ly/fle9j hilarious!! leave this guy a comment!,0.0
26331,a3f639a5b9, Lol...I am greedy. I`m craving Coldstone again.,m greedy.,neutral, lol...i am greedy. i`m craving coldstone again.,0.125
26561,bcee9ad1b5,"Ive been up since 530,i hate wen i cant sleep. Garys takn a nap and i mite do the same",i hate wen i cant sleep.,neutral," ive been up since 530,i hate wen i cant sleep. garys takn a nap and i mite do the same",0.2631578947368421
27002,f8b3cc4523,  i wasn`t able to go the conference.so I didn`t get the outline.. however I have been doing my own & it`s coming along.,i wasn`t able to go the conference.so I didn`t get the outline.. however I have been doing my own & it`s coming along.,neutral, i wasn`t able to go the conference.,0.2857142857142857
27037,481e43e353,can`t sleep so i`m watching some more Gilmore Girls,can`t sleep so,neutral, can`t sleep so i`m watching some more gilmore girls,0.3333333333333333
27120,0706981933,"Wow, my phone was blowing up with tweets all day. Now that I`m home, it`s a ghost town! Guess I`ll do some chores in my apt. & go to bed.","Wow, my phone was blowing up with tweets all day. Now that I`m home, it`s a ghost town! Guess I`ll do some chores in my apt. & go to bed.",neutral," wow, my phone was blowing up with tweets all day.",0.3448275862068966
27320,1840223106,shopping! Migawd. i don`t want to surf the net anymore.,shopping! Migawd. i don`t want to surf the net anymore.,neutral, shopping! migawd.,0.2
27332,3a9d357027, haha i see im so bored rite now.. it seems like everyone is headin to vegas this weekend,haha i see im so bored rite now.,neutral, haha i see im so bored rite now.. it seems like everyone is headin to vegas this weekend,0.3684210526315789
27466,7e8b34de71, Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style 'medical' uni. Disappointed there weren`t any more in costume.,Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style 'medical' uni. Disappointed there weren`t any more in costume.,neutral, naw.. it was pretty tame.,0.25
