,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
720,8fe7e90d7b, good luck!! How exciting,good,positive, good luck!! how exciting,0.25
723,5ea02d49eb,"Finally a chance to show genuine love, not dependent selfish love, I hope I can do it. My heart goes out to you and I`m sorry 4 ur pain.","love,",positive, hope,0.0
727,24f090ea3d, the exact one i was thinking of  the bestttt.,e bestttt,positive, bestttt.,0.0
729,d8ffeb6591,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",like,positive, i kind of like labels,0.2
745,5f1e07398b,"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother`s Day for the first time as a mother.",celebrate,positive, yippee,0.0
747,7420980c60,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!,better,positive, better day today!!,0.3333333333333333
748,cf30a8df0a, NEW motorcycle and you POPPED a cable already? wow-you ride HARD!,wow-you ride HARD!,positive, wow-,0.0
750,fab844f0c2, Thanks! Welcome back!,Thanks! Welcome back!,positive, thanks!,0.3333333333333333
757,8a8c28f5ba, Thanks Amy!  That video is so awesome!  Did you see TMH?  He`s amazing in that too!! Bouncy Bouncy Bouncy!!!,e`s amazi,positive, awesome!,0.0
767,493f47d778,Jon made one of the greatest dinners ever: roast pork tenderloin on a bed of wild rice on a bed of mixed greens & yummy sauce. No wine,one of the greatest dinners ever:,positive, greatest,0.16666666666666666
769,36a0a476c5,Shower. Class. More class. Taking care of my lady-friend. Writing like there`s no tomorrow.,Shower. Class. More class. Taking care of my lady-friend.,positive, taking care,0.25
770,5343b52f89,Rockstar photographer shoot went great tonight. A little different than the usual stuff - very nice.,great,positive,Rockstar photographer shoot went great tonight. A little different than the usual stuff - very nice.,0.0625
775,e350274c1a,The World is just amazing!,The World is just amazing!,positive, amazing!,0.2
778,5dbe4cae20, awww hes too cute!!wish i could`ve gone,cute!,positive, awww hes too cute!!,0.0
781,355a1e84e2,just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work,just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work,positive, great,0.05
794,6d57e5fcb0,_KittyKat hello new follower  haha!! how are ya?,haha!,positive, haha!!,0.0
802,9e275c23b0,"_3 U know - kids do what we DO - not what we SAY ... well, don`t we all, really  ....","well,",positive," don`t we all, really ....",0.0
809,31fa81e0ae,"  Yes, you should go see Star Trek!  It`s sooooo much fun!",ch fu,positive, fun!,0.0
812,c380578d03, very relaxing thank you. Hope you get to put your feet up tomorrow and enjoy the day,very relaxing,positive, very relaxing thank you. hope you get to put your feet up tomorrow and enjoy the day,0.11764705882352941
813,22e968402f, yessir that is 100% right,yessir that is 100% right,positive, right,0.2
831,33fd898450,GOODNIGHT MAGIC AND PRETTY WORLD,GOODNIGHT,positive, goodnight magic and pretty world,0.2
846,020a2d26ec, I miss u guys too  I prob won`t b bk til august sumtime... But if I come bk anytime b4 then ill 4 sure let u kno!,I miss u guys too  I prob won`t b bk til august sumtime,positive, i miss,0.16666666666666666
857,317715cbc5,can`t wait to november for Jobros concert ! In examination,can`t wait to november for Jobros concert !,positive, can`t wait,0.25
866,77338f26c5,i jus love doin night shifts...will be done in an hour,i jus love doin night shifts...,positive, love,0.16666666666666666
869,a8b5846c0e," You know, your updates are really amusing.  How was the prop auction?How much did that baseship bed go for?",your updates are really amusing.,positive, amusing.,0.2
870,dba3019318,Loves the fact that there`s only 5 days of school left,Loves the fact,positive, loves,0.3333333333333333
871,f2737e9c15, Oh no!! I hope it`s not bad,s not bad,positive, hope,0.0
872,f62706f76e, awesome..am headin there that nite after my grad dinner  c u then boi! hehe,awesome.,positive, awesome..,0.0
874,5d94b30c0f," Aww, congrats to the family. ;) Send me piccies in the email!","Aww, congrats to the family.",positive, congrats,0.2
883,d153e50085,"__buckley Good for you mate, sadly I couldnt get pissed tonight **** driving bad times","Good for you mate, sadly I couldnt get pissed tonight **** driving bad times",positive, good,0.07142857142857142
887,1c32289f9a, very very cute  and fun to watch.,very very cute,positive, very very cute and fun to watch.,0.3333333333333333
900,1f40da44dc, Thanks man.  That sorted it. I only ever remember 222.222,Thanks man.  That sorted it,positive, thanks,0.2
901,0a2bce3efa,_Craig_G Hope your enjoying the money..it`s looking real good to me right now,enjoying,positive, hope your enjoying the money..it`s looking real good,0.125
904,0f5a1691df,"and thanks,  , fr. yr congratulatory gweetin`",congratulatory,positive," thanks,",0.0
919,6268a5fa23,Enjoying Mother`s Day,Enjoying,positive, enjoying mother`s day,0.3333333333333333
935,a8d9ff4fc3,I hope everyone had a great weekend! I will be here on and off today as I have 2 important meetings today,hope,positive, great weekend!,0.0
937,ab75d13082, http://twitpic.com/4qpzx - i love you guys  you`re the best,s  you`re the best,positive, i love you guys you`re the best,0.375
942,f0e3079931,"_babe woo! im getting mine on monday,cant wait  x",cant wait,positive, woo!,0.0
943,85c86e7975, awww she`s laavly ;) I had to come in  but I`ve got a stunning wee tan (l) ;) yourself?,laavly,positive, stunning,0.0
954,7abffbad91, (blinks fast) its better now ... Lol thanks :-*,thanks,positive, its better now ... lol thanks,0.16666666666666666
956,8ac49207e1," (cont) a bastardized version of French? It`s fun, believe me!","s fun,",positive," it`s fun,",0.3333333333333333
957,c400a6bf99," alas, I am moving   (like where i`m moving too, but the actual moving, ugh) wish I could go too!",h) wish I could go too,positive, wish,0.16666666666666666
987,1a46538172," if so, the TMobile G1 is the Hummer H1. I wish I had the battery life of an iPhone!",I wish I had the battery life of an iPhone!,positive, i wish,0.2222222222222222
990,40ecb95c7e, at first i thought bar life meant you were partying nonstop to catch up for the last 2 years...lol shoulda known better,better,positive,...lol shoulda known better,0.25
993,e5909bf38b, I see you didn`t shave your head. But I *LOVE* the cut.  I`m glad you didn`t shave it. Your hair`s too pretty!,m glad,positive, *love* the cut. i`m glad you didn`t shave it. your hair`s too pretty!,0.07142857142857142
996,fe6301dd3a, my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept,my sleep pattern is screwed,positive, decent,0.0
998,a7b4ba7093,may the fourth be with you! happy star wars day,may the fourth be with you! happy star wars day,positive, happy,0.1
1009,6e047da71b, That`s me on a good day,That`s me on a good day,positive, good,0.16666666666666666
1013,4287a0fce7," hahaha, I was busy, now I see what I replied to you! Yes that is true","hahaha, I was busy, now I see what I replied to you!",positive, yes that is true,0.0
1039,3d1318d372, there coming this year ^-^  wiL said it himself  but yes now would be good.,ut yes now would be good,positive, good.,0.0
1049,6e638ba726, awww  I`ll let you off - but you`d better be there for my next 30th! XD,awww  I`ll let you off - but you`d better be there for my next 30th! XD,positive, awww,0.0625
1061,3d4f44b382,hook up with Rian van Staden on Twitter. He is a (much) better cook and may have some more concrete suggestions,(much) better cook,positive, he is a (much) better,0.3333333333333333
1062,7048b3a9c0," Nako! Umuulan pa naman!  Anyway, enjoy the bike rides!",", enjoy",positive, enjoy the bike rides!,0.2
1064,c6787281f9, Oohh Yaay like it !  ?    Love ya,Yaay like it !  ?    Love,positive, love,0.16666666666666666
1068,caf738c7d5,_Lhoste Thanks you so much for following me on Twitter; I hope you find it as exciting as I do! Looking forward to your tweets!,Thanks you so much,positive, thanks you so much for following me on twitter; i hope you find it as exciting,0.26666666666666666
1070,1adaa3519d,"Happy Mother`s Day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",Happy Mother`s Day,positive, happy,0.3333333333333333
1074,3793966498, Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,Please feel free to watch and enjoy,positive, enjoy,0.14285714285714285
1076,7a3840a246,Don`t follow your dreams; chase them.- Richard Dumb (who I think is very smart,who I think is very smart,positive, smart,0.16666666666666666
1077,3d5c1ed21b, Up is out?  I didn`t get the memo   It looks amazing.,o   It looks amazi,positive, amazing.,0.0
1078,e0879b38f2, yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol,yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol,positive, fun,0.047619047619047616
1079,3e9559f5a8,tonight was hilariouss  i loveeee everyone that was theree,loveeee,positive, hilariouss,0.0
1080,d482c6c7d5, thank YOU!! You guys did awesome things for my blog tonight  so grateful!!,so grateful!!,positive, thank you!! you guys did awesome things for my blog tonight so grateful!!,0.15384615384615385
1093,d703cd3563, I had mint ice-cream for dessert tonight. Love the stuff!,Love,positive, love the stuff!,0.3333333333333333
1099,25edc7715c, i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,worth,positive,good,0.0
1106,5c3060444c,HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,HAPPY MOMMA`s DAY ALL.,positive, happy,0.25
1112,445f86a65e,Aw. Toy Story 3 is coming out NEXT year.,Aw. Toy Story 3 is coming out NEXT year.,positive, aw.,0.1111111111111111
1114,82395294cf,goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,Happy,positive, goooodnight everyone! and happy,0.25
1125,fada4f1204, nice to have you back,nice to have you back,positive, nice,0.2
1129,875d366982," Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)",Enjoy the coffee.,positive, enjoy,0.3333333333333333
1133,642f6f34b9, my little felted thing looks like an incestuous by- product of two of your lovelies,my little felted thing looks like an incestuous by- product of two of your lovelies,positive, lovelies,0.07142857142857142
1139,cd1a90193c,Happy Mothers Day!,Happy Mothers Day!,positive, happy,0.3333333333333333
1157,73e3150187," I know, i know...  -hugs-",-hugs,positive, -hugs-,0.0
1166,608cdbe02c,watching W. with jas. i love my brother he`s my best friend,i love my brother he`s my best friend,positive, i love,0.2857142857142857
1180,85769c1ef2,Another HD - my lecturer was gob smacked by how good our presentation was,gob smacked by how good our presentation was,positive, good,0.125
1181,66d02b456b,  awesome! All deserved I`m sure. Miss the Crabs games,awesome,positive, awesome! all deserved,0.0
1184,6d6430bd5d," When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good","When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",positive, good,0.041666666666666664
1189,aa806bb753,"@ Little_Ren is lovely lovely, and so niceee",niceee,positive," lovely lovely, and so niceee",0.2
1195,73616eac59,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,I might really have to join,positive, motivated/determined/wannabe sexy successful,0.0
1197,9736b31d4c, lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,joke,positive, juss a joke,0.3333333333333333
1203,9803285456, thanks  scared of dentists.. looks like I am going to have to get over it and go,thanks  scared of dentists.. looks like I am going to have to get over it and go,positive, thanks,0.0625
1210,498b85271a, it makes perfect sense. I guess i am very down to earth. Thanks for your reply,Thanks for your reply,positive, it makes perfect sense.,0.0
1213,27024dbb18,"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",definitely!,positive, brightly,0.0
1217,db75031d55, I can remember those Evidence Based Management lectures...definitely the best of EBM,..definitely the best of EBM,positive,definitely the best,0.3333333333333333
1222,b73764e952," Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",Feel free,positive," fab,",0.0
1233,c7e58ae69b," - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",Thanks for all the comments,positive, thanks,0.2
1236,f53c7cad5a,Glad to see the sun out in Dublin after a great week in London. Back to work,Glad to see the sun out in Dublin after a great week,positive, glad,0.08333333333333333
1239,2ab82634d5,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,had an awsome salad!,positive, awsome,0.25
1245,82ec1b47c4," yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",hahah,positive," yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look hahah!",0.0
1246,5f8ead4a60,"Watched GossiP.Girl. Dan`s so funny, haha.","Dan`s so funny,",positive," funny,",0.3333333333333333
1247,adebad3529,  hope your day gets better soon!!,hope your day gets better soon!!,positive, hope,0.16666666666666666
1256,aeee8ceff4, maybe one day I can be on your favorite producers list  lol,I can be on your favorite producers list  lol,positive, favorite,0.1111111111111111
1262,1d363e3c46,what a beautiful morning! nice to be out,what a beautiful morning!,positive, beautiful,0.25
1277,7b9efb5c34," http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.","thats the most colorful thing ive seen all day,wow.",positive, colorful,0.1111111111111111
1280,adac9ee2e1," I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",so goo,positive, so good.,0.3333333333333333
1283,3090200836," You are totally welcome to come hang out on my wiki  Do it, do it!",e totally welcome,positive, welcome,0.3333333333333333
1290,8f9d6fb09f,has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,good,positive, should be good,0.3333333333333333
1299,f854b71b06, hell yeah! Belgian beer is the bomb!!  :p,hell yeah!,positive, hell yeah! belgian beer is the bomb!!,0.2857142857142857
1319,bc84f21e3b,ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2,ShoesShoesShoes.YayYayYay.lol.I,positive,yayyayyay.,0.0
